"Technique","model","category","precision","recall","f1","accuracy"
"Active Prompting_APO20","GPT-5","understand",0.645161290322581,0.8,0.714285714285714,80
"Active Prompting_APO20","GPT-5","apply",0.739130434782609,0.68,0.708333333333333,68
"Active Prompting_APO20","GPT-5","analyze",0.620689655172414,0.72,0.666666666666667,72
"Active Prompting_APO20","GPT-5","evaluate",0.678571428571429,0.76,0.716981132075472,76
"Active Prompting_APO20","GPT-5","create",0.727272727272727,0.64,0.680851063829787,64
"Active Prompting_APO50","GPT-3.5","remember",0.5,0.04,0.0740740740740741,4
"Active Prompting_APO50","GPT-3.5","understand",0.442307692307692,0.92,0.597402597402597,92
"Active Prompting_APO50","GPT-3.5","apply",0.733333333333333,0.44,0.55,44
"Active Prompting_APO50","GPT-3.5","analyze",0.555555555555556,0.8,0.655737704918033,80
"Active Prompting_APO50","GPT-3.5","evaluate",0.633333333333333,0.76,0.690909090909091,76
"Active Prompting_APO50","GPT-3.5","create",0.866666666666667,0.52,0.65,52
"Active Prompting_APO50","GPT-5","remember",0.8125,0.52,0.634146341463415,52
"Active Prompting_APO50","GPT-5","understand",0.578947368421053,0.88,0.698412698412698,88
"Active Prompting_APO50","GPT-5","apply",0.75,0.72,0.73469387755102,72
"Active Prompting_APO50","GPT-5","analyze",0.8,0.64,0.711111111111111,64
"Active Prompting_APO50","GPT-5","evaluate",0.633333333333333,0.76,0.690909090909091,76
"Active Prompting_APO50","GPT-5","create",0.681818181818182,0.6,0.638297872340426,60
"Auto-CoT","GPT-3.5","remember",NA,0,NA,0
"Auto-CoT","GPT-3.5","understand",0.611111111111111,0.44,0.511627906976744,44
"Auto-CoT","GPT-3.5","apply",0.785714285714286,0.44,0.564102564102564,44
"Auto-CoT","GPT-3.5","analyze",0.298701298701299,0.92,0.450980392156863,92
"Auto-CoT","GPT-3.5","evaluate",0.62962962962963,0.68,0.653846153846154,68
"Auto-CoT","GPT-3.5","create",0.857142857142857,0.48,0.615384615384615,48
"Auto-CoT","GPT-5","remember",0.846153846153846,0.44,0.578947368421053,44
"Auto-CoT","GPT-5","understand",0.545454545454545,0.72,0.620689655172414,72
"Auto-CoT","GPT-5","apply",0.692307692307692,0.72,0.705882352941177,72
"Auto-CoT","GPT-5","analyze",0.6,0.6,0.6,60
"Auto-CoT","GPT-5","evaluate",0.575757575757576,0.76,0.655172413793103,76
"Auto-CoT","GPT-5","create",0.65,0.52,0.577777777777778,52
"Auto-CoT_APO10","GPT-3.5","remember",NA,0,NA,0
"Auto-CoT_APO10","GPT-3.5","understand",0.611111111111111,0.44,0.511627906976744,44
"Auto-CoT_APO10","GPT-3.5","apply",0.785714285714286,0.44,0.564102564102564,44
"Auto-CoT_APO10","GPT-3.5","analyze",0.298701298701299,0.92,0.450980392156863,92
"Auto-CoT_APO10","GPT-3.5","evaluate",0.62962962962963,0.68,0.653846153846154,68
"Auto-CoT_APO10","GPT-3.5","create",0.857142857142857,0.48,0.615384615384615,48
"Auto-CoT_APO10","GPT-5","remember",0.8,0.32,0.457142857142857,32
"Auto-CoT_APO10","GPT-5","understand",0.526315789473684,0.8,0.634920634920635,80
"Auto-CoT_APO10","GPT-5","apply",0.730769230769231,0.76,0.745098039215686,76
"Auto-CoT_APO10","GPT-5","analyze",0.576923076923077,0.6,0.588235294117647,60
"Auto-CoT_APO10","GPT-5","evaluate",0.59375,0.76,0.666666666666667,76
"Auto-CoT_APO10","GPT-5","create",0.611111111111111,0.44,0.511627906976744,44
"Auto-CoT_APO20","GPT-3.5","remember",NA,0,NA,0
"Auto-CoT_APO20","GPT-3.5","understand",0.692307692307692,0.36,0.473684210526316,36
"Auto-CoT_APO20","GPT-3.5","apply",0.8,0.48,0.6,48
"Auto-CoT_APO20","GPT-3.5","analyze",0.280487804878049,0.92,0.429906542056075,92
"Auto-CoT_APO20","GPT-3.5","evaluate",0.62962962962963,0.68,0.653846153846154,68
"Auto-CoT_APO20","GPT-3.5","create",0.846153846153846,0.44,0.578947368421053,44
"Auto-CoT_APO20","GPT-5","remember",0.846153846153846,0.44,0.578947368421053,44
"Auto-CoT_APO20","GPT-5","understand",0.633333333333333,0.76,0.690909090909091,76
"Auto-CoT_APO20","GPT-5","apply",0.761904761904762,0.64,0.695652173913043,64
"Auto-CoT_APO20","GPT-5","analyze",0.5,0.6,0.545454545454545,60
"Auto-CoT_APO20","GPT-5","evaluate",0.59375,0.76,0.666666666666667,76
"Auto-CoT_APO20","GPT-5","create",0.625,0.6,0.612244897959184,60
"Auto-CoT_APO50","GPT-3.5","remember",NA,0,NA,0
"Auto-CoT_APO50","GPT-3.5","understand",0.714285714285714,0.4,0.512820512820513,40
"Auto-CoT_APO50","GPT-3.5","apply",0.733333333333333,0.44,0.55,44
"Auto-CoT_APO50","GPT-3.5","analyze",0.280487804878049,0.92,0.429906542056075,92
"Auto-CoT_APO50","GPT-3.5","evaluate",0.64,0.64,0.64,64
"Auto-CoT_APO50","GPT-3.5","create",0.714285714285714,0.4,0.512820512820513,40
"Auto-CoT_APO50","GPT-5","remember",0.846153846153846,0.44,0.578947368421053,44
"Auto-CoT_APO50","GPT-5","understand",0.564102564102564,0.88,0.6875,88
"Auto-CoT_APO50","GPT-5","apply",0.782608695652174,0.72,0.75,72
"Auto-CoT_APO50","GPT-5","analyze",0.789473684210526,0.6,0.681818181818182,60
"Auto-CoT_APO50","GPT-5","evaluate",0.558823529411765,0.76,0.64406779661017,76
"Auto-CoT_APO50","GPT-5","create",0.681818181818182,0.6,0.638297872340426,60
"DSPy_100","GPT-3.5","remember",0.818181818181818,0.36,0.5,36
"DSPy_100","GPT-3.5","understand",0.39344262295082,0.96,0.558139534883721,96
"DSPy_100","GPT-3.5","apply",0.592592592592593,0.64,0.615384615384615,64
"DSPy_100","GPT-3.5","analyze",0.363636363636364,0.64,0.463768115942029,64
"DSPy_100","GPT-3.5","evaluate",0.75,0.12,0.206896551724138,12
"DSPy_100","GPT-3.5","create",1,0.12,0.214285714285714,12
"DSPy_100","GPT-5","remember",0.739130434782609,0.68,0.708333333333333,68
"DSPy_100","GPT-5","understand",0.442307692307692,0.92,0.597402597402597,92
"DSPy_100","GPT-5","apply",0.448275862068966,0.52,0.481481481481481,52
"DSPy_100","GPT-5","analyze",0.545454545454545,0.72,0.620689655172414,72
"DSPy_100","GPT-5","evaluate",0.875,0.28,0.424242424242424,28
"DSPy_100","GPT-5","create",1,0.2,0.333333333333333,20
"DSPy_200","GPT-3.5","remember",0.75,0.24,0.363636363636364,24
"DSPy_200","GPT-3.5","understand",0.347222222222222,1,0.515463917525773,100
"DSPy_200","GPT-3.5","apply",0.611111111111111,0.44,0.511627906976744,44
"DSPy_200","GPT-3.5","analyze",0.390243902439024,0.64,0.484848484848485,64
"DSPy_200","GPT-3.5","evaluate",0.833333333333333,0.2,0.32258064516129,20
"DSPy_200","GPT-3.5","create",1,0.2,0.333333333333333,20
"DSPy_200","GPT-5","remember",0.739130434782609,0.68,0.708333333333333,68
"DSPy_200","GPT-5","understand",0.442307692307692,0.92,0.597402597402597,92
"DSPy_200","GPT-5","apply",0.448275862068966,0.52,0.481481481481481,52
"DSPy_200","GPT-5","analyze",0.545454545454545,0.72,0.620689655172414,72
"DSPy_200","GPT-5","evaluate",0.875,0.28,0.424242424242424,28
"DSPy_200","GPT-5","create",1,0.2,0.333333333333333,20
"DSPy_300","GPT-3.5","remember",0.714285714285714,0.2,0.3125,20
"DSPy_300","GPT-3.5","understand",0.406779661016949,0.96,0.571428571428571,96
"DSPy_300","GPT-3.5","apply",0.6875,0.44,0.536585365853659,44
"DSPy_300","GPT-3.5","analyze",0.333333333333333,0.76,0.463414634146341,76
"DSPy_300","GPT-3.5","evaluate",0.333333333333333,0.04,0.0714285714285714,4
"DSPy_300","GPT-3.5","create",0.875,0.28,0.424242424242424,28
"DSPy_300","GPT-5","remember",0.739130434782609,0.68,0.708333333333333,68
"DSPy_300","GPT-5","understand",0.442307692307692,0.92,0.597402597402597,92
"DSPy_300","GPT-5","apply",0.448275862068966,0.52,0.481481481481481,52
"DSPy_300","GPT-5","analyze",0.545454545454545,0.72,0.620689655172414,72
"DSPy_300","GPT-5","evaluate",0.875,0.28,0.424242424242424,28
"DSPy_300","GPT-5","create",1,0.2,0.333333333333333,20
"Few-shot","GPT-3.5","remember",0,0,NA,0
"Few-shot","GPT-3.5","understand",0.45,0.72,0.553846153846154,72
"Few-shot","GPT-3.5","apply",0.714285714285714,0.4,0.512820512820513,40
"Few-shot","GPT-3.5","analyze",0.377358490566038,0.8,0.512820512820513,80
"Few-shot","GPT-3.5","evaluate",0.517241379310345,0.6,0.555555555555556,60
"Few-shot","GPT-3.5","create",0.769230769230769,0.4,0.526315789473684,40
"Few-shot","GPT-5","remember",0.857142857142857,0.48,0.615384615384615,48
"Few-shot","GPT-5","understand",0.583333333333333,0.84,0.688524590163934,84
"Few-shot","GPT-5","apply",0.730769230769231,0.76,0.745098039215686,76
"Few-shot","GPT-5","analyze",0.695652173913043,0.64,0.666666666666667,64
"Few-shot","GPT-5","evaluate",0.59375,0.76,0.666666666666667,76
"Few-shot","GPT-5","create",0.684210526315789,0.52,0.590909090909091,52
"Few-shot_APO10","GPT-3.5","remember",0,0,NA,0
"Few-shot_APO10","GPT-3.5","understand",0.45,0.72,0.553846153846154,72
"Few-shot_APO10","GPT-3.5","apply",0.714285714285714,0.4,0.512820512820513,40
"Few-shot_APO10","GPT-3.5","analyze",0.377358490566038,0.8,0.512820512820513,80
"Few-shot_APO10","GPT-3.5","evaluate",0.517241379310345,0.6,0.555555555555556,60
"Few-shot_APO10","GPT-3.5","create",0.769230769230769,0.4,0.526315789473684,40
"Few-shot_APO10","GPT-5","remember",0.75,0.36,0.486486486486487,36
"Few-shot_APO10","GPT-5","understand",0.552631578947368,0.84,0.666666666666667,84
"Few-shot_APO10","GPT-5","apply",0.791666666666667,0.76,0.775510204081633,76
"Few-shot_APO10","GPT-5","analyze",0.6,0.6,0.6,60
"Few-shot_APO10","GPT-5","evaluate",0.575757575757576,0.76,0.655172413793103,76
"Few-shot_APO10","GPT-5","create",0.666666666666667,0.48,0.558139534883721,48
"Few-shot_APO20","GPT-3.5","remember",NA,0,NA,0
"Few-shot_APO20","GPT-3.5","understand",0.452380952380952,0.76,0.567164179104478,76
"Few-shot_APO20","GPT-3.5","apply",0.846153846153846,0.44,0.578947368421053,44
"Few-shot_APO20","GPT-3.5","analyze",0.4,0.8,0.533333333333333,80
"Few-shot_APO20","GPT-3.5","evaluate",0.483870967741935,0.6,0.535714285714286,60
"Few-shot_APO20","GPT-3.5","create",0.857142857142857,0.48,0.615384615384615,48
"Few-shot_APO20","GPT-5","remember",0.857142857142857,0.48,0.615384615384615,48
"Few-shot_APO20","GPT-5","understand",0.575757575757576,0.76,0.655172413793103,76
"Few-shot_APO20","GPT-5","apply",0.708333333333333,0.68,0.693877551020408,68
"Few-shot_APO20","GPT-5","analyze",0.551724137931034,0.64,0.592592592592593,64
"Few-shot_APO20","GPT-5","evaluate",0.633333333333333,0.76,0.690909090909091,76
"Few-shot_APO20","GPT-5","create",0.6,0.48,0.533333333333333,48
"Few-shot_APO50","GPT-3.5","remember",0,0,NA,0
"Few-shot_APO50","GPT-3.5","understand",0.472222222222222,0.68,0.557377049180328,68
"Few-shot_APO50","GPT-3.5","apply",0.733333333333333,0.44,0.55,44
"Few-shot_APO50","GPT-3.5","analyze",0.350877192982456,0.8,0.48780487804878,80
"Few-shot_APO50","GPT-3.5","evaluate",0.5,0.56,0.528301886792453,56
"Few-shot_APO50","GPT-3.5","create",0.846153846153846,0.44,0.578947368421053,44
"Few-shot_APO50","GPT-5","remember",0.916666666666667,0.44,0.594594594594595,44
"Few-shot_APO50","GPT-5","understand",0.51219512195122,0.84,0.636363636363636,84
"Few-shot_APO50","GPT-5","apply",0.692307692307692,0.72,0.705882352941177,72
"Few-shot_APO50","GPT-5","analyze",0.75,0.6,0.666666666666667,60
"Few-shot_APO50","GPT-5","evaluate",0.59375,0.76,0.666666666666667,76
"Few-shot_APO50","GPT-5","create",0.631578947368421,0.48,0.545454545454545,48
"Self-Consistency","GPT-3.5","remember",1,0.08,0.148148148148148,8
"Self-Consistency","GPT-3.5","understand",0.404255319148936,0.76,0.527777777777778,76
"Self-Consistency","GPT-3.5","apply",0.714285714285714,0.4,0.512820512820513,40
"Self-Consistency","GPT-3.5","analyze",0.456521739130435,0.84,0.591549295774648,84
"Self-Consistency","GPT-3.5","evaluate",0.542857142857143,0.76,0.633333333333333,76
"Self-Consistency","GPT-3.5","create",1,0.24,0.387096774193548,24
"Self-Consistency","GPT-5","remember",0.846153846153846,0.44,0.578947368421053,44
"Self-Consistency","GPT-5","understand",0.583333333333333,0.84,0.688524590163934,84
"Self-Consistency","GPT-5","apply",0.730769230769231,0.76,0.745098039215686,76
"Self-Consistency","GPT-5","analyze",0.727272727272727,0.64,0.680851063829787,64
"Self-Consistency","GPT-5","evaluate",0.558823529411765,0.76,0.64406779661017,76
"Self-Consistency","GPT-5","create",0.684210526315789,0.52,0.590909090909091,52
"Self-Consistency_APO10","GPT-3.5","remember",1,0.08,0.148148148148148,8
"Self-Consistency_APO10","GPT-3.5","understand",0.404255319148936,0.76,0.527777777777778,76
"Self-Consistency_APO10","GPT-3.5","apply",0.714285714285714,0.4,0.512820512820513,40
"Self-Consistency_APO10","GPT-3.5","analyze",0.456521739130435,0.84,0.591549295774648,84
"Self-Consistency_APO10","GPT-3.5","evaluate",0.542857142857143,0.76,0.633333333333333,76
"Self-Consistency_APO10","GPT-3.5","create",1,0.24,0.387096774193548,24
"Self-Consistency_APO10","GPT-5","remember",0.846153846153846,0.44,0.578947368421053,44
"Self-Consistency_APO10","GPT-5","understand",0.567567567567568,0.84,0.67741935483871,84
"Self-Consistency_APO10","GPT-5","apply",0.730769230769231,0.76,0.745098039215686,76
"Self-Consistency_APO10","GPT-5","analyze",0.681818181818182,0.6,0.638297872340426,60
"Self-Consistency_APO10","GPT-5","evaluate",0.542857142857143,0.76,0.633333333333333,76
"Self-Consistency_APO10","GPT-5","create",0.647058823529412,0.44,0.523809523809524,44
"Self-Consistency_APO20","GPT-3.5","remember",0.5,0.04,0.0740740740740741,4
"Self-Consistency_APO20","GPT-3.5","understand",0.434782608695652,0.8,0.563380281690141,80
"Self-Consistency_APO20","GPT-3.5","apply",0.8,0.48,0.6,48
"Self-Consistency_APO20","GPT-3.5","analyze",0.5,0.88,0.63768115942029,88
"Self-Consistency_APO20","GPT-3.5","evaluate",0.513513513513513,0.76,0.612903225806452,76
"Self-Consistency_APO20","GPT-3.5","create",1,0.24,0.387096774193548,24
"Self-Consistency_APO20","GPT-5","remember",0.857142857142857,0.48,0.615384615384615,48
"Self-Consistency_APO20","GPT-5","understand",0.555555555555556,0.8,0.655737704918033,80
"Self-Consistency_APO20","GPT-5","apply",0.72,0.72,0.72,72
"Self-Consistency_APO20","GPT-5","analyze",0.653846153846154,0.68,0.666666666666667,68
"Self-Consistency_APO20","GPT-5","evaluate",0.655172413793103,0.76,0.703703703703704,76
"Self-Consistency_APO20","GPT-5","create",0.65,0.52,0.577777777777778,52
"Self-Consistency_APO50","GPT-3.5","remember",0.666666666666667,0.08,0.142857142857143,8
"Self-Consistency_APO50","GPT-3.5","understand",0.392156862745098,0.8,0.526315789473684,80
"Self-Consistency_APO50","GPT-3.5","apply",0.733333333333333,0.44,0.55,44
"Self-Consistency_APO50","GPT-3.5","analyze",0.454545454545455,0.8,0.579710144927536,80
"Self-Consistency_APO50","GPT-3.5","evaluate",0.53125,0.68,0.596491228070175,68
"Self-Consistency_APO50","GPT-3.5","create",1,0.2,0.333333333333333,20
"Self-Consistency_APO50","GPT-5","remember",0.8,0.48,0.6,48
"Self-Consistency_APO50","GPT-5","understand",0.552631578947368,0.84,0.666666666666667,84
"Self-Consistency_APO50","GPT-5","apply",0.730769230769231,0.76,0.745098039215686,76
"Self-Consistency_APO50","GPT-5","analyze",0.727272727272727,0.64,0.680851063829787,64
"Self-Consistency_APO50","GPT-5","evaluate",0.612903225806452,0.76,0.678571428571428,76
"Self-Consistency_APO50","GPT-5","create",0.666666666666667,0.48,0.558139534883721,48
"Zero-shot","GPT-3.5","remember",NA,0,NA,0
"Zero-shot","GPT-3.5","understand",0.545454545454545,0.48,0.51063829787234,48
"Zero-shot","GPT-3.5","apply",0.714285714285714,0.4,0.512820512820513,40
"Zero-shot","GPT-3.5","analyze",0.328358208955224,0.88,0.478260869565217,88
"Zero-shot","GPT-3.5","evaluate",0.642857142857143,0.72,0.679245283018868,72
"Zero-shot","GPT-3.5","create",0.684210526315789,0.52,0.590909090909091,52
"Zero-shot","GPT-5","remember",0.846153846153846,0.44,0.578947368421053,44
"Zero-shot","GPT-5","understand",0.552631578947368,0.84,0.666666666666667,84
"Zero-shot","GPT-5","apply",0.692307692307692,0.72,0.705882352941177,72
"Zero-shot","GPT-5","analyze",0.652173913043478,0.6,0.625,60
"Zero-shot","GPT-5","evaluate",0.59375,0.76,0.666666666666667,76
"Zero-shot","GPT-5","create",0.666666666666667,0.48,0.558139534883721,48
"Zero-shot_APO10","GPT-3.5","remember",NA,0,NA,0
"Zero-shot_APO10","GPT-3.5","understand",0.545454545454545,0.48,0.51063829787234,48
"Zero-shot_APO10","GPT-3.5","apply",0.714285714285714,0.4,0.512820512820513,40
"Zero-shot_APO10","GPT-3.5","analyze",0.328358208955224,0.88,0.478260869565217,88
"Zero-shot_APO10","GPT-3.5","evaluate",0.642857142857143,0.72,0.679245283018868,72
"Zero-shot_APO10","GPT-3.5","create",0.684210526315789,0.52,0.590909090909091,52
"Zero-shot_APO10","GPT-5","remember",0.8,0.48,0.6,48
"Zero-shot_APO10","GPT-5","understand",0.6,0.84,0.7,84
"Zero-shot_APO10","GPT-5","apply",0.791666666666667,0.76,0.775510204081633,76
"Zero-shot_APO10","GPT-5","analyze",0.666666666666667,0.64,0.653061224489796,64
"Zero-shot_APO10","GPT-5","evaluate",0.542857142857143,0.76,0.633333333333333,76
"Zero-shot_APO10","GPT-5","create",0.647058823529412,0.44,0.523809523809524,44
"Zero-shot_APO20","GPT-3.5","remember",NA,0,NA,0
"Zero-shot_APO20","GPT-3.5","understand",0.526315789473684,0.4,0.454545454545455,40
"Zero-shot_APO20","GPT-3.5","apply",0.785714285714286,0.44,0.564102564102564,44
"Zero-shot_APO20","GPT-3.5","analyze",0.3125,0.8,0.449438202247191,80
"Zero-shot_APO20","GPT-3.5","evaluate",0.545454545454545,0.72,0.620689655172414,72
"Zero-shot_APO20","GPT-3.5","create",0.7,0.56,0.622222222222222,56
"Zero-shot_APO20","GPT-5","remember",0.8125,0.52,0.634146341463415,52
"Zero-shot_APO20","GPT-5","understand",0.59375,0.76,0.666666666666667,76
"Zero-shot_APO20","GPT-5","apply",0.703703703703704,0.76,0.730769230769231,76
"Zero-shot_APO20","GPT-5","analyze",0.653846153846154,0.68,0.666666666666667,68
"Zero-shot_APO20","GPT-5","evaluate",0.612903225806452,0.76,0.678571428571428,76
"Zero-shot_APO20","GPT-5","create",0.666666666666667,0.48,0.558139534883721,48
"Zero-shot_APO50","GPT-3.5","remember",NA,0,NA,0
"Zero-shot_APO50","GPT-3.5","understand",0.545454545454545,0.48,0.51063829787234,48
"Zero-shot_APO50","GPT-3.5","apply",0.705882352941177,0.48,0.571428571428571,48
"Zero-shot_APO50","GPT-3.5","analyze",0.339285714285714,0.76,0.469135802469136,76
"Zero-shot_APO50","GPT-3.5","evaluate",0.552631578947368,0.84,0.666666666666667,84
"Zero-shot_APO50","GPT-3.5","create",0.764705882352941,0.52,0.619047619047619,52
"Zero-shot_APO50","GPT-5","remember",0.8,0.48,0.6,48
"Zero-shot_APO50","GPT-5","understand",0.552631578947368,0.84,0.666666666666667,84
"Zero-shot_APO50","GPT-5","apply",0.72,0.72,0.72,72
"Zero-shot_APO50","GPT-5","analyze",0.666666666666667,0.56,0.608695652173913,56
"Zero-shot_APO50","GPT-5","evaluate",0.575757575757576,0.76,0.655172413793103,76
"Zero-shot_APO50","GPT-5","create",0.666666666666667,0.48,0.558139534883721,48
"Active Prompting","GPT-3.5","overall",0.566666666666667,0.566666666666667,0.566666666666667,56.6666666666667
"Active Prompting","GPT-5","overall",0.706666666666667,0.706666666666667,0.706666666666667,70.6666666666667
"Active Prompting_APO10","GPT-3.5","overall",0.566666666666667,0.566666666666667,0.566666666666667,56.6666666666667
"Active Prompting_APO10","GPT-5","overall",0.66,0.66,0.66,66
"Active Prompting_APO20","GPT-3.5","overall",0.566666666666667,0.566666666666667,0.566666666666667,56.6666666666667
"Active Prompting_APO20","GPT-5","overall",0.693333333333333,0.693333333333333,0.693333333333333,69.3333333333333
"Active Prompting_APO50","GPT-3.5","overall",0.58,0.58,0.58,58
"Active Prompting_APO50","GPT-5","overall",0.686666666666667,0.686666666666667,0.686666666666667,68.6666666666667
"Auto-CoT","GPT-3.5","overall",0.493333333333333,0.493333333333333,0.493333333333333,49.3333333333333
"Auto-CoT","GPT-5","overall",0.626666666666667,0.626666666666667,0.626666666666667,62.6666666666667
"Auto-CoT_APO10","GPT-3.5","overall",0.493333333333333,0.493333333333333,0.493333333333333,49.3333333333333
"Auto-CoT_APO10","GPT-5","overall",0.613333333333333,0.613333333333333,0.613333333333333,61.3333333333333
"Auto-CoT_APO20","GPT-3.5","overall",0.48,0.48,0.48,48
"Auto-CoT_APO20","GPT-5","overall",0.633333333333333,0.633333333333333,0.633333333333333,63.3333333333333
"Auto-CoT_APO50","GPT-3.5","overall",0.466666666666667,0.466666666666667,0.466666666666667,46.6666666666667
"Auto-CoT_APO50","GPT-5","overall",0.666666666666667,0.666666666666667,0.666666666666667,66.6666666666667
"DSPy_100","GPT-3.5","overall",0.473333333333333,0.473333333333333,0.473333333333333,47.3333333333333
"DSPy_100","GPT-5","overall",0.553333333333333,0.553333333333333,0.553333333333333,55.3333333333333
"DSPy_200","GPT-3.5","overall",0.453333333333333,0.453333333333333,0.453333333333333,45.3333333333333
"DSPy_200","GPT-5","overall",0.553333333333333,0.553333333333333,0.553333333333333,55.3333333333333
"DSPy_300","GPT-3.5","overall",0.446666666666667,0.446666666666667,0.446666666666667,44.6666666666667
"DSPy_300","GPT-5","overall",0.553333333333333,0.553333333333333,0.553333333333333,55.3333333333333
"Few-shot","GPT-3.5","overall",0.486666666666667,0.486666666666667,0.486666666666667,48.6666666666667
"Few-shot","GPT-5","overall",0.666666666666667,0.666666666666667,0.666666666666667,66.6666666666667
"Few-shot_APO10","GPT-3.5","overall",0.486666666666667,0.486666666666667,0.486666666666667,48.6666666666667
"Few-shot_APO10","GPT-5","overall",0.633333333333333,0.633333333333333,0.633333333333333,63.3333333333333
"Few-shot_APO20","GPT-3.5","overall",0.513333333333333,0.513333333333333,0.513333333333333,51.3333333333333
"Few-shot_APO20","GPT-5","overall",0.633333333333333,0.633333333333333,0.633333333333333,63.3333333333333
"Few-shot_APO50","GPT-3.5","overall",0.486666666666667,0.486666666666667,0.486666666666667,48.6666666666667
"Few-shot_APO50","GPT-5","overall",0.64,0.64,0.64,64
"Self-Consistency","GPT-3.5","overall",0.513333333333333,0.513333333333333,0.513333333333333,51.3333333333333
"Self-Consistency","GPT-5","overall",0.66,0.66,0.66,66
"Self-Consistency_APO10","GPT-3.5","overall",0.513333333333333,0.513333333333333,0.513333333333333,51.3333333333333
"Self-Consistency_APO10","GPT-5","overall",0.64,0.64,0.64,64
"Self-Consistency_APO20","GPT-3.5","overall",0.533333333333333,0.533333333333333,0.533333333333333,53.3333333333333
"Self-Consistency_APO20","GPT-5","overall",0.66,0.66,0.66,66
"Self-Consistency_APO50","GPT-3.5","overall",0.5,0.5,0.5,50
"Self-Consistency_APO50","GPT-5","overall",0.66,0.66,0.66,66
"Zero-shot","GPT-3.5","overall",0.5,0.5,0.5,50
"Zero-shot","GPT-5","overall",0.64,0.64,0.64,64
"Zero-shot_APO10","GPT-3.5","overall",0.5,0.5,0.5,50
"Zero-shot_APO10","GPT-5","overall",0.653333333333333,0.653333333333333,0.653333333333333,65.3333333333333
"Zero-shot_APO20","GPT-3.5","overall",0.486666666666667,0.486666666666667,0.486666666666667,48.6666666666667
"Zero-shot_APO20","GPT-5","overall",0.66,0.66,0.66,66
"Zero-shot_APO50","GPT-3.5","overall",0.513333333333333,0.513333333333333,0.513333333333333,51.3333333333333
"Zero-shot_APO50","GPT-5","overall",0.64,0.64,0.64,64
